no,nama,penjelasan,label
51,Bukit Geger Bangkalan,"Ingin menikmati keindagan alam pulau Madura dari ketinggian? Bukit Geger merupakan destinasi tempat wisata di Madura yang tepat untukmu. Menjadi salah satu titik tertinggi di pulau garam, Madura, Bukit Geger merupakan salah satu objek wisata di Madura favorit. Dikelilingi oleh rimbunnya pepohonan mahoni, kamu bisa menikmati asrinya alam dan juga berbagai satwa-satwa liar yang hidup di dalam kawasan ini.",alami
52,Makam Aer Mata,,
53,Pulau Giliyang,,
54,Gua Mahakarya,,
55,Pantai Ropet,,
56,Vihara Avalokitesvara,,
57,Pantai Jodoh,,
58,Taman Adipura,,
59,Batik Madura Ole Olang,,
60,Taman Bukit Anjhir,,
61,Wisata Alam Kesek,,
62,Tambatan Perahu Batuan,,
63,AGRO EDU WISATA KEBUN BANG JANI,"Agro wisata ini terletak kampung Du'ur, Desa Langkap, Kecamatan Burneh, Kabupaten Bangkalan. Agro edu wisata kebun bang jani ini merupakan objek wisata pertama dipulau madura yang berbasis pertanian dan tanaman. Agro wisata Kebun bang jani ini menyajikan 3 konsep yakni pariwista, Pendidikan, pertanian. Selain itu agro wisata kebun bang jani ini siap memperkenalkan cara pembibitan, perawatan, panen dan cara membasmi hama, namun semua itu tergantung dari para wisatawan ingin belajar tentang cara pembibitan, perawatan dsb. Untuk pengunjung yang ingin memetik buah atau sayuran yang ditanam dilokasi tersebut diperkenankan, namun setelah memetik buah atau sayuran membayar dengan harga yang sudah ditentukan oleh pengelola.",buatan
64,Kebun Raya Mangrove Madura,"Warga mengunjungi lokasi wisata edukasi hutan mangrove yang masih dalam tahap penyelesaian di Pantai Lembung, Pamekasan, Jawa Timur. Kawasan tersebut nantinya direncanakan menjadi destinasi wisata edukasi hutan mangrove terlengkap dan terbesar di Madura.",buatan
65,Hutan Kera Nepa,"Wisata Hutan Kera Nepa di Sampang adalah salah satu tempat wisata yang berada di Desa Nepa, Kecamatan Banyuates, Kabupaten Sampang, Jawa Timur, Indonesia. Wisata Hutan Kera Nepa di Sampang adalah tempat wisata yang ramai dengan wisatawan pada hari biasa maupun hari liburan. Tempat ini sangat indah dan bisa memberikan sensasi yang berbeda dengan aktivitas kita sehari hari. Wisata Hutan Kera Nepa di Sampang memiliki pesona keindahan yang sangat menarik untuk dikunjungi. Sangat di sayangkan jika anda berada di kota Saampang tidak mengunjungi wisata Hutan Kera Nepa di Sampang yang mempunyai keindahan yang tiada duanya tersebut. Wisata Hutan Kera Nepa di Sampang sangat cocok untuk mengisi kegiatan liburan anda, apalagi saat liburan panjang seperti libur nasional, ataupun hari ibur lainnya. Keindahan wisata Hutan Kera Nepa di Sampang ini sangatlah baik bagi anda semua yang berada di dekat atau di kejauhan untuk merapat mengunjungi tempat wisata Hutan Kera Nepa di kota Sampang.",buatan
66,Wisata Waduk Nipah,,
67,Wisata kincir angin,,
68,Bukit Lombang,,
69,Pantai Masjid Laok,,
70,Tambak Semar,,
71,Pantai The Legend,,
72,Wisata Alam Bukit Sekaran,,
73,Puncak Tinggi Waru,,
74,Lembah Durbugen,,
75,Air Terjun Ahatan,,
76,PANTAI TAMBERU AGUNG,,
77,Pemandian Beto Tete,,
78,Pantai Kelleman,,
79,Bukit seribu kenangan,,
80,Taman Tectona,,
81,Taman Wisata Alam Pagarbatu (Boekit TAWAP),"Bukit Tawap merupakan salah satu wujud pencapaian Pemerintah Desa (Pemdes) Pagarbatu, Kecamatan Saronggi dalam menciptakan destinasi wisata Emmas (Elok Maju Mandiri Aman dan Sejahtera). “Bukit Tawap merupakan taman wisata alam yang ada di perbukitan Leng-leng tepatnya di Dusun Bungandun Desa Pagarbatu. Di tempat wisata ini pengunjung disajikan dengan sumber belerang yang berkhasiat menyembuhkan berbagai penyakit, ada kolam renang dan taman wisata lainnya,” kata Kepala Desa (Kades) Pagarbatu, Imam Daud, SE, Selasa (10/05/2022). Ia menjelaskan, jika wisata Bukit Taman Wisata Alam Pagarbatu (Tawap) merupakan tabungan warga Desa Pagarbatu, karena pembangunannya hasil gotong royong atau swadaya masyarakat setempat.",buatan
82,Pantai Beringin,,
83,Pantai Toroto,,
84,Pantai Sahari,,
85,Pantai Aengkembang,,
86,Pantai Sembilan,,
87,Pantai bherekai,,
88,Bukit Wisata Kalompek,,
89,Pesisir Pantai Romben Barat,"Wisata pantai pasir putih menjadi salah jujugan warga di kepulauan Sumenep menghabiskan liburan lebaran. Wisata alam dengan hamparan pasir putih itu terletak di ujung barat Pulau Kangean. Hamparan pasir putih dan air laut yang bening menjadi daya tarik tersendiri bagi para pengunjung yang menghabiskan hari libur lebaran Yanti, salah satu pengunjung mengaku setiap libur lebaran, pantai pasir putih selalu ramai dikunjungi warga. Mereka biasanya datang dengan berkelompok atau rombongan hanya sekedar makan-makan sambil menikmati suasana pantai yang sejuk dan asri karena pemandangannya yang masih alami. ",
90,Pantai Badur Batu Putih,"Dari keindahan pesisir di wilayah Kabupaten Sumenep, pesisir Badur merupakan salah satu pantai atau pesisir yang menawarkan keindahan alam pantai. Pantai Badur, tidak jauh jaraknya antara Pantai Salopeng, di Kecamatan Salopeng yang terkenal dengan keindahan gunung pasirnya dengan Pantai Lombang, di Kecamatan Batangbatang yang juga dikenal dengan hutan pohon cemara udang dan pantainya yang landai.  Nama Badur tersebut di ambil dari nama desa yang ada di lokasi pantai tersebut, yaitu Desa Badur, kecamatan Batuputih, Kabupaten Sumenep, Madura, Jawa Timur. Jarak antara pusat kota Sumenep dan Pantai Badur ini tidak terlalu jauh, meski juga tidak bisa dibilang dekat, kurang lebih sekitar 18 kilometer, jadi untuk sampai mungkin memakan waktu kurang lebih sekitar 30 hingga 35 menit dengan mobil. Pantai Badur adalah pantai yang indah, meski tidak seluas Pantai Slopeng dan Pantai Lombang, namun pantai ini memiliki ketertarikan tersendiri di mata masyarakat, apalagi pasirnya yang berwarna putih itu terlihat sangat cantik dibawah sinar matahari, pantai ini masih sangat bersih, mungkin karena masyarakat sekitar masih sangat menghargai betapa pentingnya kebersihan lingkungan. Di Pantai Badur Anda bisa menikmati keindahan pantai-pantai andalan Sumenep yaitu Lombang dan Slopeng, di sisi Timur Pantai Badur Anda bisa menikmati pesona Pantai Slopeng yang persis dengan Slopeng lengkap dengan gunungan pasirnya dan di daerah tengah Pantai Badur kita bisa menemukan pesona eksotika pantai Lombang yang hampir sama persis dengan Lombang lengkap dengan hamparan pasir yang luas dan cemara-cemara yang menghiasi dipinggirnya.",
91,Pantai Kundang Wetan,"Destinasi wisata pantai baru Kabupaten Sumenep ini bernama Pantai Kundang Wetan. Pantai Kundang Wetan berada di pesisir pantai Desa Tanjung, Kecamatan Saronggi, Kabupaten Sumenep. Di sana, wisatawan bisa menikmati deburan ombak laut dengan berbagai pohon mangrove. Pantai Kundang Wetan ini sangat cocok dijadikan tempat untuk melepas rasa jenuh atau sekadar berfoto untuk melengkapi galeri Instagram. Sebelum disulap menjadi Pantai Kundang Wetan, lokasi ini dahulunta merupakan tanah pesisir biasa. Namun, tahun 2019 ini, pemerintah setempat akan melakukan renovasi dan menjadikan tempat ini sebagai destinasi wisata baru.",
92,PANTAI MATAHARI LOBUK,"Wisata alam spot mancing yang diberi nama pantai matahari tersebut di buat oleh pemdes karena banyaknya masyarakat yang sebelumnya sering memancing ikan di sekitar pantai tersebut, hal itulah yang kemudian menginisiasi Pemdes Lobuk untuk memberikan fasilitas berupa jembatan dan gazebo serta lampu penerangan bagi para mancing mania yang suka memancing ikan di malam hari. Informasi yang diperoleh oleh pegiat KIM Darma Bhakti dari Moh. Saleh, M.Pd, kepala Desa setempat mengatakan jika desa yang ia pimpin akan terus melakukan inovasi dan kreasi untuk kemajuan desa Lobuk serta kesejahteraan warganya.",buatan
93,Wisata Mangrove Kedatim,"Wisata mangrove Kedatim diawali dari aksi cinta lingkungan yang digagas kawula muda desa. Kegiatannya menanam mangrove di pesisir pantai yang mengitari desa. Ketika hutan mangrove mulai rimbun, terbetik (tersiar) ide mengembangkan wisata alam dan edukasi.",buatan
94,Pantai e Kasoghi,"Pada pertengahan tahun 2020 telah launching wisata eksotis Pantai Ekashogi yang berada di desa Tanjung, Kecamatan Saronggi, Kabupaten Sumenep. Wisata yang lanunching pada akhir Juni 2020 ini, memang masih belum 50% pengerjaan. Namun yang perlu sobat tahu, pantai ini sudah mampu menarik banyak wisatawan untuk berkunjung karena keindahan pantainya yang dibalut dengan hijaunya pohon mangrove yang berada disekitar pantai.",buatan
95,Pantai Toragan,Tidak ada,
96,Bukit batu Gunung Angin (Bukit Pengantin),Tidak ada,
97,Pantai Batu Sulung,"Batu Sulung adalah Sebuah objek wisata yang berupa pantai yang terletak di Desa Karduluk Kecamatan Pragaan Kabupaten Sumenep. Setelah kami survey ke Dinas Pariwisata dan Kebudayaan Kabupaten Sumenep ternyata pantai ini belum terdaftar sebagai obyek wisata, kami juga heran mengapa pantai sebagus ini tidak terdaftar sebagai objek wisata maupun terjamah oleh campur tangan pemerintah untuk pelestarian dan pengembangannya. Keunikan pantai Batu Sulung dari semua pantai di Sumenep yaitu bebatuannya, bebatuannya yg tersebar dibibir pantai dan anehnya lagi bebatuan bebatuan tersebut seolah-olah seperti baru dipindahkan atau baru terseret ombak dari laut menuju ke daratan dilihat dari posisi-posisi bebatuan yang seperti baru terhempas dari laut ke daratan.",alam
98,Sumber Air Belerang Kaduara,"Sumber air belerang yang berada di daerah Kaduara Timur, Kabupaten Pamekasan, memang sejak dahulu sudah ada. Tapi, masyarakat sekitar tidak pernah mencoba untuk memanfaatkannya untuk menjadi tempat wisata. Tempatnya kotor dan menyeramkan layaknya hutan, banyak pepohonan dan rumput-rumput yang mulai tinggi. Karena itulah tidak ada orang yang pernah mencoba untuk singgah meski lokasinya berada di pinggir jalan raya. Tapi pemandangan yang kurang mampu menyedot wisatawan itu, sekarang berubah sejak adanya gotong royong untuk membersihkannya. Itu bermula dari hadirnya para mahasiswa KKN 13 dari Universitas Trunojoyo Madura (UTM). Para mahasiswa ini mulai menyulap seindah mungkin tanpa mengubah secara bentuk. Dalam artian, mereka hanya membersihkan dan membuang tumbuhan atau benda-benda alam yang kurang bermanfaat di lokasi. Letak geografis yang mendukung, ditambah papan nama yang terbuat dari kayu menjadi informasi yang berguna bagi para wisatawan. Terkadang banyak orang yang awalnya tidak ada niat untuk mampir, tapi karena ada hal baru yang tidak seperti biasanya di pinggir jalan membuat mereka berhenti dan tertarik untuk turun ke bawah (sumber air belerang).",buatan
99,Kebun Melon Artodung,"Terkenal memiliki tanah tandus dan enggak subur, ternyata di Madura tepatnya di Kabupaten Pamekasan, Jawa Timur ada wisata petik buah segar yang enggak kalah dengan kota berudara sejuk seperti Malang. Tempatnya bernama Melon Artodung Farm. Letaknya sekitar 15 menit dari pusat Kota Pamekasan yang berada di Dusun Birnyi, Desa Artodung, Kecamatan Galis, Pamekasan. Melon Artodung Farm dikelola secara keseluruhan oleh warga sekitar. Di sini kamu bisa langsung merasakan sensasi l memetik dan membeli macam-macam buah melon. Beberapa varian melon yang bisa kamu petik di sini yaitu Golden Basket, Golden Melon dan Sweet Melon. Selain itu disini juga ada semangka jenis Golden dan Ijoku. Kalau kamu berkunjung ke sini, bisa langsung memetik dan membeli macam buah hasil dari kebun. Harga buahnya juga masih terjangkau. Semua varian melon bisa kamu bawa pulang dengan harga Rp15 ribu. Sedangkan semangka Rp5 ribu hingga Rp6 ribu per buah. Para pengunjung dan pemberi ternyata enggak cuma dari daerah sekitar Pamekasan, ternyata banyak yang dari luar kota dan memborong buah di Melon Artodung Farm. Karena buah yang dipetik segar dan langsung diambil dari pohon, sudah pasti buah di sini rasanya sangat manis dan segar. Tertarik untuk mencoba kesegaran buah di sini?",
100,Pantai Gulbung Pangarengan,Tidak ada,
